lonxa,fecha,ingresos_real,ingresos_predicho,ingresos_lower,ingresos_upper,error_absoluto,error_pct,modelo,fecha_ejecucion
"A Coruña (Lonja Coruña, S.A.)",2024-01-01,4118252.27,3760689.877962776,2972690.251416543,4540823.832217473,357562.392037224,8.682381957072872,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2024-02-01,3733533.67,3327841.610425051,2588320.778336576,4073390.279848765,405692.0595749491,10.866168499692387,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2024-03-01,3901170.43,4462941.145537478,3736985.675836641,5202909.676282563,561770.7155374778,14.40005571706022,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2024-04-01,4488983.18,4639844.798168051,3876800.8708180455,5430269.017135257,150861.61816805135,3.3607080293860974,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2024-05-01,4839028.72,4400448.229122855,3648388.391789389,5165656.911277015,438580.49087714497,9.063399212004366,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2024-06-01,4808331.95,5225000.09828665,4461843.402386975,5977293.275728502,416668.14828664996,8.66554457178544,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2024-07-01,7697932.01,6574069.589443,5853060.275562928,7364920.293229027,1123862.4205569997,14.599536850897696,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2024-08-01,5366962.67,5940446.306958212,5168874.238272106,6649796.669855197,573483.6369582117,10.68544113719747,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2024-09-01,4805465.78,4636324.026175673,3883798.2962134443,5407903.5366532765,169141.75382432714,3.5197785515044733,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2024-10-01,5547733.39,4598080.899073821,3761144.5635014013,5370302.571832311,949652.4909261791,17.117846590068005,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2024-11-01,4837717.64,5105231.633363781,4325383.754703863,5862382.01227137,267513.9933637809,5.529756246042109,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2024-12-01,5439003.59,5871602.482773779,5105630.01235137,6673323.030916415,432598.8927737791,7.953642346718494,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2025-01-01,3616697.57,3685227.555874255,2911876.9913054393,4460006.07007433,68529.98587425519,1.8948221284163163,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2025-02-01,5757346.2,3627017.7182834335,2887895.6864515706,4467896.76184649,2130328.4817165667,37.001917336785596,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2025-03-01,4337430.42,4957519.515057221,4234239.206572154,5683390.696626948,620089.0950572211,14.29623152449835,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
"A Coruña (Lonja Coruña, S.A.)",2025-04-01,6426088.96,5901848.871536564,5154841.99328395,6712577.058727274,524240.0884634359,8.157996126829776,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
