lonxa,fecha,ingresos_real,ingresos_predicho,error_absoluto,error_pct,modelo,fecha_ejecucion
"A Coruña (Lonja Coruña, S.A.)",2024-01-01,4118252.27,4088443.25,29809.02000000002,0.7238269548747196,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
"A Coruña (Lonja Coruña, S.A.)",2024-02-01,3733533.67,4149171.5,415637.8300000001,11.132558769719092,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
"A Coruña (Lonja Coruña, S.A.)",2024-03-01,3901170.43,4792165.0,890994.5699999998,22.839160349116042,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
"A Coruña (Lonja Coruña, S.A.)",2024-04-01,4488983.18,5177351.0,688367.8200000003,15.33460457296702,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
"A Coruña (Lonja Coruña, S.A.)",2024-05-01,4839028.72,5065944.5,226915.78000000026,4.6892835965644,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
"A Coruña (Lonja Coruña, S.A.)",2024-06-01,4808331.95,5233314.5,424982.5499999998,8.83846112163699,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
"A Coruña (Lonja Coruña, S.A.)",2024-07-01,7697932.01,6296646.5,1401285.5099999998,18.203402006924193,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
"A Coruña (Lonja Coruña, S.A.)",2024-08-01,5366962.67,5388353.0,21390.330000000075,0.3985555949469661,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
"A Coruña (Lonja Coruña, S.A.)",2024-09-01,4805465.78,5265495.0,460029.21999999974,9.57304122140684,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
"A Coruña (Lonja Coruña, S.A.)",2024-10-01,5547733.39,4970856.5,576876.8899999997,10.398424896189896,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
"A Coruña (Lonja Coruña, S.A.)",2024-11-01,4837717.64,5733473.0,895755.3600000003,18.51607362516512,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
"A Coruña (Lonja Coruña, S.A.)",2024-12-01,5439003.59,5607123.5,168119.91000000015,3.091005681796216,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
